AACTAY	aechtie
AALTJ	aeltje
AAMYNA	aamina
AARVN	aaron
ABA	aba
ABAD	abad
ABADA	obadja
ABADHBY	abudhabi
ABAJA	obadja
ABAR	aabar
ABCR	abcher
ABDJA	obadja
ABDLRHMAN	abdalrahman
ABDVN	ebdon
ABH	abe
ABHAY	abhay
ABHY	abhay
ABLA	abella
ABL	abel
ABL	abell
ABLH	abele
ABLHYD	adelheid
ABLJ	abeltje
ABLT	abeltje
ABLTJ	abeltje
ABLY	abley
ABLYSN	ablation
ABND	abend
ABSTRKT	abstract
ABT	abbott
ABTYN	abtine
ABV	abou
ABVBA	aboba
ABVDBY	abudhabi
ABVDHABY	abudhabi
ABVHBYB	abudhabi
ABVLYN	abolin
ABVRYMH	eboreime
ABVT	abbot
ABVT	abbott
ABVTSMYT	abbotsmith
ABYA	abia
ABYAB	abiab
ABY	abbey
ABY	abby
ABYAD	abiad
ABYAN	abyan
ABYD	ubaid
ABY	ebe
ABYL	abel
ABYLAK	abilock
ABYNA	ebina
ABYNGM	obbingem
ABYNGN	obbingem
ACDL	archdale
AC	ech
ACR	archer
ANBAR	anbar
ANBR	anbar
ANBV	anbu
ANCY	anchi
ANDAMZ	adnams
AND	and
AND	ande
ANDNS	andenes
ANDRA	andra
ANDR	ander
ANDR	andr
ANDRBRG	anderberg
ANDRBVRG	enderborg
ANDRBY	enderby
ANDR	ender
ANDR	endre
ANDRR	anderer
ANDRS	andres
ANDRS	andress
ANDRSN	andersen
ANDRSN	andreasen
ANDRSVN	anderson
ANDRVS	andrus
ANDRVZ	andrews
ANDRYA	andrea
ANDRY	andree
ANDRY	andrei
ANDRYAS	andreas
ANDRYS	andres
ANDRYS	andries
ANDRYS	andris
ANDRYSN	andreassen
ANDRYSN	andreessen
ANDRYVZ	andrews
ANDRYYA	andreaea
ANDRYZ	andries
ANDSVRS	endesworth
ANDSVRT	endesworth
ANDSVVRT	endesworth
ANDVLSN	andolsen
ANDYSL	anthistle
ANDYYVRANS	endurance
ANFANT	enfant
ANFYLD	enfield
ANGBRTSN	engebretsen
ANGH	anghe
ANGLAND	englund
ANGLANDR	englander
ANGLASMA	engelsma
ANGLHARD	engelhardt
ANGLHLM	engelholm
ANGLHVRN	engelhorn
ANGLND	england
ANGLS	angles
ANGLS	engels
ANGLSMA	engelsma
ANGLSVN	engelson
ANGLTH	engeltje
ANGLTJ	engeltje
ANGLTJH	engeltje
ANGLYNA	engelina
ANGLYS	english
ANGLZ	engels
ANGRSVL	ingresole
ANGVLV	angulo
ANH	anne
ANHLD	anhold
ANJBRTSVN	engebretson
ANJL	angle
ANJLJY	engeltje
ANJLS	angeles
ANJLT	engeltje
ANJLTJA	engeltje
ANJLV	angelo
ANJLYNA	engelina
ANJLYS	angelis
ANJLYSYA	anglesea
ANJY	engi
ANJYLYNY	angelini
ANKNY	ankeney
ANKR	anker
ANKRLY	enkerli
ANKSTAD	annexstad
ANKVRN	anckorn
ANPYNGKV	unpingco
ANQ	anghe
ANQH	anghe
ANRAH	unruh
ANR	oner
ANRYK	enric
ANRYKV	enrico
ANRYKYV	enrique
ANRYKYYVZ	enriquez
ANSAR	anwar
ANSKAMB	anscomb
ANSL	ansell
ANSLM	anselm
ANSLMV	anselmo
ANSLY	ansley
ANSLYN	ansselin
ANSPAC	anspach
ANSR	anwer
ANSTYTV	institut
ANSY	anssi
ANSY	anthea
ANSYH	anisa
ANSYKR	unsicker
ANTAL	antal
